Date,Open,High,Low,Close,Percent Change,Volume
2025-05-20,2627.68,2681.58,2617.46,2677.45,1.86,7312790196.17
2025-05-19,2606.73,2639.69,2605.03,2628.36,0.74,7358855085.18
2025-05-18,2608.26,2625.26,2606.09,2609.05,-0.10,8509221312.61
2025-05-15,2623.28,2628.67,2605.89,2611.85,-0.32,7083348240.63
2025-05-14,2635.21,2642.96,2619.64,2620.27,-0.53,8736570105.44
2025-05-13,2650.54,2669.28,2632.29,2634.23,-0.56,9634812612.57
2025-05-11,2661.56,2692.5,2648.48,2649.11,-0.47,10202701344.0
2025-05-08,2674.7,2687.38,2655.79,2661.64,-0.45,11650017851.57
2025-05-07,2613.78,2676.25,2611.71,2673.69,2.38,10518406352.64
2025-05-06,2608.6,2625.7,2608.57,2611.43,0.03,8747668846.35
2025-05-05,2618.33,2630.36,2604.79,2610.4,-0.38,7634193693.73
2025-05-04,2627.96,2645.67,2619.26,2620.39,-0.13,9245583315.99
2025-04-30,2631.91,2642.07,2622.72,2623.83,-0.30,9374122655.9
2025-04-29,2648.99,2666.54,2630.3,2631.98,-0.57,7575206278.35
2025-04-28,2661.01,2676.05,2645.24,2647.07,-0.54,8912843919.7
2025-04-27,2657.75,2684.51,2657.37,2661.6,0.13,10875991144.35
2025-04-24,2656.49,2668.06,2641.88,2658.02,0.07,7879381268.28
2025-04-23,2687.69,2687.69,2653.74,2655.94,-1.20,7575517246.76
2025-04-22,2695.15,2707.86,2682.8,2688.32,-0.36,8321282188.84
2025-04-21,2704.19,2716.7,2691.07,2698.28,-0.28,8775720293.64
2025-04-20,2724.51,2731.81,2700.85,2706.04,-0.61,8433589785.29
2025-04-17,2701.23,2740.13,2697.63,2722.73,0.98,10797363282.32
2025-04-16,2702.46,2704.97,2685.36,2696.23,0.26,7265122241.8
2025-04-15,2678.52,2704.58,2669.22,2689.22,1.01,8544357887.81
2025-04-13,2673.01,2676.7,2657.32,2662.08,-0.32,6280296245.03
2025-04-10,2677.58,2687.92,2667.0,2670.7,-0.20,5637981250.23
2025-04-09,2681.8,2701.12,2671.65,2676.28,0.36,4484619740.83
2025-04-08,2671.62,2674.88,2631.68,2666.61,-0.12,5309568997.49
2025-04-07,2702.09,2710.13,2667.56,2670.06,-1.23,5658973766.4
2025-04-03,2700.23,2732.85,2700.23,2703.39,0.12,7844642487.27
2025-04-02,2693.13,2712.25,2669.06,2700.04,0.89,5444435901.36
2025-04-01,2691.6,2696.5,2654.57,2676.17,-0.62,5797791700.14
2025-03-30,2661.63,2718.95,2657.88,2693.12,1.11,7568226197.37
2025-03-27,2632.13,2666.17,2621.46,2663.3,1.58,5223083340.93
2025-03-26,2580.19,2625.6,2579.45,2621.86,1.51,4204408894.9
2025-03-25,2652.87,2652.87,2581.32,2582.73,-2.11,5180718708.1
2025-03-24,2610.46,2645.99,2592.32,2640.78,0.99,4483599004.49
2025-03-23,2667.61,2669.0,2614.09,2614.68,-2.04,6320141365.6
2025-03-20,2679.97,2685.87,2666.69,2669.31,-0.47,4561311282.77
2025-03-19,2699.26,2706.58,2676.3,2682.15,-0.55,5143997643.36
